feat	codeword	expressed
ZNF202	0111000010001111	1
SALL2	1000101010001111	1
OSBPL6	0010011010001111	1
ERN1	1010000110001111	1
ARL10	0000110110001111	1
RP11-350F4.2	0010110001001111	1
MAP3K14	0101000101001111	1
FKBP5	0000011101001111	1
HELZ2	0100010011001111	1
PTPRU	0001001011001111	1
RALGAPA1P	0101010000101111	1
FITM2	0010100100101111	1
PER3	1000010100101111	1
ARL4C	1001000010101111	1
DDX60L	0100000110101111	1
ZNF41	0110000001101111	1
KLHL15	0000100011101111	1
PHLPP2	0110100000011111	1
ZNF142	1100010000011111	1
KLF11	1001001000011111	1
MBLAC2	0001010100011111	1
NIPAL2	0100001100011111	1
LRP4	0000101001011111	1
N6AMT1	0010000101011111	1
SLC12A6	1000100000111111	1
SLC4A8	0010010000111111	1
PINK1-AS	0001000001111111	1
